rotation x;rotation z;real x;real z

0;358.7618;0;-0.3537685
5.336085E-08;358.5328;1.494104E-08;-0.4191895
-2.134434E-07;354.1111;-5.976415E-08;-1.682547
2.134434E-07;353.1198;5.976415E-08;-1.965759
0;351.8088;0;-2.34035
0;350.5232;0;-2.70765
4.268868E-07;350.1185;1.195283E-07;-2.823277
0;351.6191;0;-2.394531
2.134434E-07;355.1015;5.976415E-08;-1.399562
-5.336085E-08;0.9828675;-1.494104E-08;0.2808193
0;5.814686;0;1.661339
2.134434E-07;5.921535;5.976415E-08;1.691867
0;7.559745;0;2.159927
4.268868E-07;13.94143;1.195283E-07;3.983264
-1.707547E-06;29.16699;-4.781132E-07;8.333426
1.707547E-06;34.39951;4.781132E-07;9.82843
0;34.9595;0;9.98843
-1.707547E-06;34.68036;-4.781132E-07;9.908675
0;34.07915;0;9.736902
1.707547E-06;33.65137;4.781132E-07;9.614679
-1.707547E-06;34.49166;-4.781132E-07;9.854762
0;35.13258;0;10
-1.707547E-06;35.54857;-4.781132E-07;10
0;35.95119;0;10
-1.707547E-06;36.22118;-4.781132E-07;10
-1.707547E-06;36.45226;-4.781132E-07;10
0;36.64051;0;10
0;36.78767;0;10
0;36.89451;0;10
1.707547E-06;36.94503;4.781132E-07;10
0;36.98524;0;10
0;37.00123;0;10
0;37.00377;0;10
0;36.99117;0;10
0;36.9595;0;10
0;36.91265;0;10
1.707547E-06;36.85229;4.781132E-07;10
0;36.77793;0;10
0;36.68098;0;10
1.707547E-06;36.53944;4.781132E-07;10
1.707547E-06;36.38369;4.781132E-07;10
0;36.21538;0;10
0;36.04354;0;10
0;35.85132;0;10
0;35.6044;0;10
1.707547E-06;35.3041;4.781132E-07;10
0;34.89244;0;9.969268
-1.707547E-06;34.42412;-4.781132E-07;9.835463
0;33.99662;0;9.713321
0;33.97572;0;9.707348
-1.707547E-06;33.74125;-4.781132E-07;9.640358
0;33.46516;0;9.561474
-1.707547E-06;33.23357;-4.781132E-07;9.495306
0;33.00355;0;9.429586
-1.707547E-06;32.74501;-4.781132E-07;9.355719
-1.707547E-06;32.46091;-4.781132E-07;9.274546
0;32.24422;0;9.212634
-1.707547E-06;32.18993;-4.781132E-07;9.197124
0;32.03152;0;9.151865
-1.707547E-06;31.78573;-4.781132E-07;9.081636
0;31.54077;0;9.011648
0;31.29432;0;8.941236
0;30.98343;0;8.852408
1.707547E-06;30.68256;4.781132E-07;8.766446
-1.707547E-06;30.42013;-4.781132E-07;8.691467
-8.537737E-07;30.13666;-2.390566E-07;8.610474
-8.537737E-07;29.85839;-2.390566E-07;8.53097
0;29.57408;0;8.449738
-8.537737E-07;29.20261;-2.390566E-07;8.343603
8.537737E-07;28.77157;2.390566E-07;8.220448
-8.537737E-07;28.36705;-2.390566E-07;8.104873
0;27.88427;0;7.966934
0;27.11316;0;7.746617
0;26.76614;0;7.64747
-1.707547E-06;25.09593;-4.781132E-07;7.170267
8.537737E-07;23.47233;2.390566E-07;6.706381
-1.707547E-06;21.61483;-4.781132E-07;6.175665
8.537737E-07;19.25228;2.390566E-07;5.500653
0;16.78177;0;4.794792
0;14.55707;0;4.159163
0;12.82447;0;3.664135
0;11.70969;0;3.345627
4.268868E-07;12.25469;1.195283E-07;3.50134
0;14.79802;0;4.228007
0;17.28104;0;4.93744
0;17.30792;0;4.945121
0;17.28577;0;4.938791
0;17.22491;0;4.921402
0;17.13266;0;4.895046
0;17.01593;0;4.861696
0;16.86578;0;4.818796
0;16.70817;0;4.773764
0;16.56469;0;4.732768
0;16.41335;0;4.689528
-8.537737E-07;16.27046;-2.390566E-07;4.648703
0;16.22302;0;4.63515
0;16.22302;0;4.63515
-8.537737E-07;15.8995;-2.390566E-07;4.542713
-8.537737E-07;15.56196;-2.390566E-07;4.446275
0;15.3289;0;4.379685
0;15.17984;0;4.337096
0;15.12312;0;4.320892
-8.537737E-07;15.13519;-2.390566E-07;4.324339
0;15.19663;0;4.341896
0;15.26602;0;4.36172
-8.537737E-07;15.36138;-2.390566E-07;4.388967
-8.537737E-07;15.46723;-2.390566E-07;4.419208
0;15.53322;0;4.438063
0;15.5943;0;4.455515
8.537737E-07;15.60771;2.390566E-07;4.459345
-4.268868E-07;15.56112;-1.195283E-07;4.446035
-8.537737E-07;15.46527;-2.390566E-07;4.418649
-4.268868E-07;15.26193;-1.195283E-07;4.360552
-4.268868E-07;15.02588;-1.195283E-07;4.293109
0;14.72287;0;4.206535
0;14.54375;0;4.155357
-8.537737E-07;15.05074;-2.390566E-07;4.300211
-8.537737E-07;15.24415;-2.390566E-07;4.355471
-4.268868E-07;15.30994;-1.195283E-07;4.374269
-4.268868E-07;15.28654;-1.195283E-07;4.367582
